"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in p.value_classic"	"p.value_elim"	"p.value_classic"	"genes"
"178"	"GO:0051321"	"meiotic cell cycle"	178	18	9.88	702	0.00955	0.01008	"BUB1B,CCNE2,CDC25A,DAZL,DMC1,EXO1,HORMAD1,MEIKIN,NCAPH,NUF2,OVOL1,PIWIL4,PKMYT1,RAD54B,RAD54L,TDRD9,TOP2A,XRCC2"
"179"	"GO:0009968"	"negative regulation of signal transduction"	1064	80	59.07	545	0.00957	0.003	"ACOD1,AGT,ATF3,BANK1,BCL2A1,BCL6,BRCA1,BTN2A2,CARD16,CASTOR1,CCL5,CD300LF,CD74,CEACAM1,CHAC1,CHRD,CISH,CRHBP,CX3CR1,CYLD,DAB1,DAB2,DEPTOR,DHRS3,DKK2,DNM1,FAS,FSTL4,GBP1,GRAMD4,HBEGF,HGF,HLA-G,ICAM1,IFT122,IL1RN,KIF26A,KLF4,KREMEN1,LBH,LILRA2,LITAF,LRRK2,LYN,MIR503,MMP9,MUC1,MYOZ2,NECAB2,NLRC5,NLRP12,NRP1,ONECUT2,OPTN,P2RX7,PADI2,PARP14,PDE3B,PID1,PLEK,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RGS18,RNF213,SESN3,SLAMF1,SOCS1,SOX17,SRI,STAP1,STAT1,STMN1,TICAM2,TNFSF10,TRABD2A,TRDN,ZC3H12A"
"180"	"GO:1902850"	"microtubule cytoskeleton organization involved in mitosis"	126	14	7	703	0.00964	0.01009	"AURKB,BIRC5,CHMP4C,DYNLT1,KIF11,MAD2L1,MYBL2,NDC80,NUF2,NUSAP1,PRC1,SPC25,STMN1,TACC2"
"181"	"GO:1990830"	"cellular response to leukemia inhibitory factor"	89	11	4.94	700	0.00967	0.01006	"ICAM1,INA,KLF4,MRAS,MYBL2,PADI2,PML,SBNO2,SNX10,SOX17,VEGFC"
"182"	"GO:0045589"	"regulation of regulatory T cell differentiation"	27	8	1.5	312	0.00968	7.5e-05	"BCL6,BTN2A2,CD28,CTLA4,HLA-G,IRF1,LAG3,SOCS1"
"183"	"GO:0032480"	"negative regulation of type I interferon production"	44	7	2.44	699	0.00976	0.01004	"ACOD1,CYLD,IFIH1,NLRC5,NMI,RELB,UBE2L6"
"184"	"GO:0045931"	"positive regulation of mitotic cell cycle"	139	15	7.72	706	0.00977	0.01025	"CD28,CDC25A,CDC45,CDC6,CDCA5,CDK1,CDT1,CYP1A1,DTL,EDN1,LRP5,MAD2L1,NDC80,NUSAP1,TAL1"
"185"	"GO:1903975"	"regulation of glial cell migration"	16	4	0.89	692	0.00984	0.01003	"CX3CR1,GPR183,P2RX4,STAP1"
"186"	"GO:0007076"	"mitotic chromosome condensation"	16	4	0.89	693	0.00984	0.01003	"CDCA5,NCAPG,NCAPH,NUSAP1"
"187"	"GO:0034104"	"negative regulation of tissue remodeling"	16	4	0.89	694	0.00984	0.01003	"AGT,CD38,P2RX7,TMEM119"
"188"	"GO:0016553"	"base conversion or substitution editing"	16	4	0.89	695	0.00984	0.01003	"ADARB2,APOBEC3A,APOBEC3D,APOBEC3G"
"189"	"GO:0046653"	"tetrahydrofolate metabolic process"	16	4	0.89	696	0.00984	0.01003	"DHFR,GCH1,MTHFD2,TYMS"
"190"	"GO:0031341"	"regulation of cell killing"	71	21	3.94	66	0.00989	1.3e-10	"B2M,BCL2L11,CD1A,CD1C,CEACAM1,CFH,CR1L,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,ICAM1,IL12A,IL12RB1,KLRK1,LAG3,P2RX7,SLAMF6,STAP1"
"191"	"GO:0006968"	"cellular defense response"	34	6	1.89	704	0.00991	0.01017	"CX3CR1,CXCL9,HLA-G,ITK,LGALS3BP,NCF1"
"192"	"GO:0034122"	"negative regulation of toll-like receptor signaling pathway"	34	6	1.89	705	0.00991	0.01017	"ACOD1,CD300LF,GRAMD4,LILRA2,LYN,TICAM2"
"193"	"GO:0009308"	"amine metabolic process"	114	13	6.33	709	0.01005	0.01049	"AOC3,CYP1A1,IDO1,IDO2,NAAA,PSMB10,PSMB8,PSMB9,PSME1,PSME2,SAT1,SULT1C2,VCAM1"
"194"	"GO:0042127"	"regulation of cell proliferation"	1266	114	70.28	134	0.01006	9.3e-08	"ADORA3,AGT,APPL2,ASCL2,ATF3,ATF5,B2M,BCL6,BIRC5,BRCA1,BTN2A2,CCL5,CCL8,CCNA2,CD274,CD28,CD38,CD40,CD74,CD80,CDC6,CDCA7,CDH5,CDK1,CDKN2C,CEACAM1,CHRD,COMP,CTLA4,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,DLL1,DYSF,E2F1,EDN1,FLT3LG,GHRL,GLUL,GPR183,HBEGF,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,HLA-G,IDO1,IFIT3,IFITM1,IFT122,IL12A,IL12RB1,IL12RB2,IL15,IL27,IL31RA,IQGAP3,IRF1,JAK2,JAK3,KARS1,KITLG,KLF4,LBH,LRP5,LRRK2,LYN,MARCKSL1,MIR503,MMP9,MTSS1,NOD2,NPR1,NRK,NRP1,OSM,OVOL1,PARP10,PDCD1LG2,PID1,PIM1,PLAAT4,PLCD3,PML,PRC1,RAPGEF2,RIPK2,S100A13,S1PR1,SAT1,SCIN,SHCBP1,SLAMF1,SOX17,SSBP3,SSTR2,STAT1,STAT2,TAL1,TESC,TGM2,TMEM119,TNFRSF11A,TNFRSF21,TNFSF13B,TNFSF18,TNFSF8,TSPAN32,UHRF1,VCAM1,VEGFC,WARS1"
"195"	"GO:0090068"	"positive regulation of cell cycle process"	248	23	13.77	721	0.01033	0.01099	"AURKB,BRCA1,CD28,CDC25A,CDC45,CDC6,CDCA5,CDK1,CDT1,CYP1A1,DAZL,DTL,E2F1,E2F8,EDN1,FEN1,GTSE1,LRP5,MAD2L1,MUC1,NDC80,NUSAP1,PML"
"196"	"GO:0007088"	"regulation of mitotic nuclear division"	153	16	8.49	714	0.01039	0.01092	"ANLN,AURKB,BUB1B,CD28,CDC6,CDCA5,CDT1,CHMP4C,EDN1,KIF11,LRP5,MAD2L1,MKI67,NDC80,NUSAP1,PKMYT1"
"197"	"GO:0001525"	"angiogenesis"	424	43	23.54	320	0.01041	9.4e-05	"ADAM8,AGT,AMOT,BRCA1,C3,CD40,CDH5,CEACAM1,COL23A1,CX3CR1,CXCL10,CXCR3,DLL1,DYSF,E2F2,E2F8,EDN1,ENPP2,EPAS1,EPHB3,GHRL,GLUL,HGF,HLA-G,KLF4,MIR503,NPR1,NRP1,PDE3B,PLCD3,PML,RNF213,S1PR1,SAT1,SOX17,STAT1,TAL1,THBS2,TNFAIP2,TYMP,VEGFC,WARS1,ZC3H12A"
"198"	"GO:0007187"	"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	140	15	7.77	713	0.01041	0.01091	"ADGRE5,ADGRG5,AGT,CXCL10,CXCL11,CXCL9,EDN1,GNG2,GRM8,HRH2,PTGER4,RAPGEF2,RXFP1,S1PR1,SSTR2"
"199"	"GO:0050869"	"negative regulation of B cell activation"	25	5	1.39	715	0.01069	0.01093	"BANK1,BCL6,CTLA4,LYN,TNFRSF21"
"200"	"GO:0043368"	"positive T cell selection"	25	5	1.39	716	0.01069	0.01093	"CD74,CYLD,IL12RB1,SLAMF6,TBX21"
"201"	"GO:0036336"	"dendritic cell migration"	25	5	1.39	717	0.01069	0.01093	"CCL5,GPR183,IL12A,NLRP12,SLAMF8"
"202"	"GO:0042572"	"retinol metabolic process"	25	5	1.39	718	0.01069	0.01093	"CYP1A1,DGAT2,DHRS3,DHRS9,PLB1"
"203"	"GO:0046640"	"regulation of alpha-beta T cell proliferation"	25	5	1.39	719	0.01069	0.01093	"CD274,CD28,HLA-E,IRF1,RIPK2"
"204"	"GO:0002577"	"regulation of antigen processing and presentation"	19	7	1.05	290	0.01081	4.4e-05	"CD74,FGL2,HLA-DOA,HLA-DOB,NOD2,SLC11A1,TAPBPL"
"205"	"GO:2000045"	"regulation of G1/S transition of mitotic cell cycle"	141	15	7.83	722	0.01107	0.01161	"BTN2A2,CDC45,CDC6,CDK1,CDKN2C,CYP1A1,E2F1,E2F8,FAM107A,GTSE1,KLF4,MUC1,PML,PSME1,PSME2"
"206"	"GO:0060761"	"negative regulation of response to cytokine stimulus"	56	8	3.11	725	0.01126	0.01161	"CARD16,CCL5,IL1RN,KLF4,NLRC5,PADI2,PARP14,STAP1"
"207"	"GO:0002369"	"T cell cytokine production"	35	6	1.94	726	0.01141	0.01171	"B2M,HLA-F,IL12A,RSAD2,SLC11A1,TBX21"
"208"	"GO:0002833"	"positive regulation of response to biotic stimulus"	35	6	1.94	727	0.01141	0.01171	"ACOD1,CD274,DDX60,IL12A,OPTN,RIPK2"
"209"	"GO:0010952"	"positive regulation of peptidase activity"	168	17	9.33	734	0.0115	0.0121	"AIM2,ANTXR1,BCL2L11,CASP4,FAS,GRAMD4,JAK2,KARS1,LYN,MEFV,NLRP12,PMAIP1,PML,PSME1,PSME2,RIPK2,TNFSF10"
"210"	"GO:0050921"	"positive regulation of chemotaxis"	116	13	6.44	732	0.01154	0.01205	"CCL5,CCL7,CD74,CXCL10,DYSF,EDN1,IL12A,KARS1,NRP1,P2RX4,S1PR1,SUCNR1,VEGFC"
"211"	"GO:1902806"	"regulation of cell cycle G1/S phase transition"	155	16	8.61	736	0.01169	0.01227	"BTN2A2,CDC45,CDC6,CDK1,CDKN2C,CYP1A1,E2F1,E2F8,FAM107A,GTSE1,KLF4,MIR503,MUC1,PML,PSME1,PSME2"
"212"	"GO:0023061"	"signal release"	337	29	18.71	747	0.01184	0.0127	"AGT,ASIC1,CCL5,CD38,CRHBP,DTNBP1,EDN1,ERC2,EXOC3L1,GHRL,GLUL,GRIN3A,HCAR2,IL1RN,ITSN1,JAK2,LRP5,LRRK2,LYN,MCTP2,NAAA,OSM,P2RX7,PRRT2,SIDT2,SRI,STX11,SYT1,SYT6"
"213"	"GO:0008285"	"negative regulation of cell proliferation"	550	48	30.53	463	0.01202	0.00121	"ADORA3,APPL2,ASCL2,ATF5,B2M,BCL6,BTN2A2,CCL8,CD274,CD80,CDC6,CDH5,CDKN2C,CEACAM1,CTLA4,DLL1,E2F1,GHRL,HLA-G,IDO1,IFIT3,IFITM1,IFT122,IL12A,IL15,IRF1,JAK2,KARS1,KLF4,LYN,MIR503,MTSS1,NPR1,NRK,OSM,OVOL1,PARP10,PDCD1LG2,PLAAT4,PML,RAPGEF2,SCIN,SSTR2,STAT1,TESC,TNFRSF21,TSPAN32,WARS1"
"214"	"GO:0051259"	"protein complex oligomerization"	441	36	24.48	755	0.01208	0.01308	"AIM2,APPL2,ASIC1,B2M,BCL2L11,C1QTNF5,CAMK2D,CCL5,CD74,COLEC12,DPYS,GBP1,GBP5,GCH1,GLUL,GSDMD,HLA-G,KCNJ2,KCTD14,MCOLN2,NOD2,P2RX4,P2RX7,PMAIP1,RNF213,RRM2,S100A10,SEPTIN4,STEAP4,SYT1,TGM2,TIFA,TK1,TRABD2A,TRIM22,ZC3H12A"
"215"	"GO:0055080"	"cation homeostasis"	536	55	29.76	239	0.0121	7.1e-06	"ABCG2,AGT,ANK2,ATP13A2,ATP1B2,ATP6V0D2,B2M,CAMK2D,CCL13,CCL15,CCL5,CCL7,CCL8,CCRL2,CD38,CD40,CDH5,CX3CR1,CXCL10,CXCL11,CXCL9,CXCR3,CYSLTR1,EDN1,EPAS1,F2RL3,FAM20A,GHRL,JAK2,KCNJ10,KCNJ2,LRRK2,LYN,MCOLN2,MT2A,NPR1,P2RX4,P2RX7,PDK4,PML,PTGER4,RAB20,S1PR1,SCO2,SLAMF8,SLC11A1,SLC12A3,SLC25A28,SLC31A2,SNX10,SRI,STEAP4,TGM2,TPCN1,TRDN"
"216"	"GO:1903522"	"regulation of blood circulation"	200	26	11.1	291	0.01213	4.5e-05	"ADORA3,AGT,ANK2,ATP1B2,CACNA2D3,CAMK2D,CD38,CXADR,EDN1,EPAS1,GCH1,GHRL,GJD3,HBEGF,HRH2,ICAM1,JAK2,KCNJ2,NPR1,P2RX4,PDE4B,SCN4B,SPTBN4,SRI,TRDN,ZC3H12A"
"217"	"GO:0043011"	"myeloid dendritic cell differentiation"	17	4	0.94	739	0.01232	0.01255	"BATF2,BATF3,RELB,UBD"
"218"	"GO:0043369"	"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment"	17	4	0.94	740	0.01232	0.01255	"CYLD,IL12RB1,SLAMF6,TBX21"
"219"	"GO:0055075"	"potassium ion homeostasis"	17	4	0.94	741	0.01232	0.01255	"ATP1B2,KCNJ10,KCNJ2,SLC12A3"
"220"	"GO:0034501"	"protein localization to kinetochore"	17	4	0.94	742	0.01232	0.01255	"AURKB,CDK1,CDT1,NDC80"
"221"	"GO:0002827"	"positive regulation of T-helper 1 type immune response"	17	4	0.94	743	0.01232	0.01255	"CD80,IL12RB1,RIPK2,SLC11A1"
"222"	"GO:1901223"	"negative regulation of NIK/NF-kappaB signaling"	17	4	0.94	744	0.01232	0.01255	"CYLD,LITAF,NLRP12,ZC3H12A"
"223"	"GO:0002902"	"regulation of B cell apoptotic process"	17	4	0.94	745	0.01232	0.01255	"AURKB,BCL6,CD74,LYN"
"224"	"GO:2001238"	"positive regulation of extrinsic apoptotic signaling pathway"	46	7	2.55	748	0.01239	0.01275	"AGT,ATF3,CYLD,G0S2,PMAIP1,PML,TNFSF10"
"225"	"GO:1900046"	"regulation of hemostasis"	57	8	3.16	752	0.01248	0.01287	"CEACAM1,COMP,EDN1,ENPP4,LYN,PLEK,SERPING1,THBD"
"226"	"GO:1902750"	"negative regulation of cell cycle G2/M phase transition"	97	15	5.39	368	0.01271	0.00028	"ATF5,AURKB,BRCA1,CDC6,CDK1,CHMP4C,CLSPN,DTL,ORC1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,TICRR"
"227"	"GO:0007267"	"cell-cell signaling"	1232	86	68.4	771	0.0128	0.01461	"ADGRE5,AGT,ANK2,ASIC1,C3,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD38,CELSR1,CMAHP,COLQ,CRHBP,CX3CR1,CXADR,CXCL10,CXCL11,CXCL5,CXCL9,CYLD,DAB2,DKK2,DLL1,DNM1,DTNBP1,EDA,EDN1,EGR2,ERC2,EXOC3L1,FAM107A,GABRA3,GAL3ST4,GHRL,GLUL,GNG2,GRIN3A,GRM8,HCAR2,HGF,HRH2,IL15,IL1RN,INSYN2A,ITSN1,JAK2,KCNJ10,KLF4,KREMEN1,LRP5,LRRK2,LYN,MCTP2,NAAA,NRGN,NRP1,OSM,P2RX4,P2RX7,PRRT2,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RAPGEF2,RASGRF1,RNF213,SCN4B,SIDT2,SOX17,SRI,STX11,SV2B,SYT1,SYT6,TNFAIP6,TNFRSF11A,TNFSF10,TNFSF18,TNFSF8,TRABD2A,TSPAN32"
"228"	"GO:1901998"	"toxin transport"	36	6	2	758	0.01307	0.01341	"ANTXR1,CD274,DNM1,HRH2,LRP5,NRP1"
"229"	"GO:1900744"	"regulation of p38MAPK cascade"	36	6	2	759	0.01307	0.01341	"CYLD,GADD45B,HGF,KARS1,NCF1,ZC3H12A"
"230"	"GO:0043367"	"CD4-positive, alpha-beta T cell differentiation"	65	14	3.61	247	0.01331	1e-05	"BCL6,CD80,GPR183,IL12RB1,IL27,JAK3,PTGER4,RELB,RIPK2,RSAD2,SLAMF6,SOCS1,TBX21,ZC3H12A"
"231"	"GO:0006836"	"neurotransmitter transport"	198	19	10.99	764	0.0134	0.01413	"ASIC1,DTNBP1,EDN1,ERC2,GLUL,GRIN3A,KCNJ10,LRRK2,LYN,MCTP2,NAAA,P2RX7,PRRT2,SLC18A1,SLC6A12,STX11,SV2B,SYNGR3,SYT1"
"232"	"GO:0051301"	"cell division"	536	42	29.76	774	0.01372	0.01496	"ANLN,AURKB,BIRC5,BUB1B,CCNA2,CCNE2,CCNF,CDC25A,CDC6,CDCA3,CDCA5,CDK1,CDT1,CHMP4C,DLL1,DYNLT1,E2F8,ERCC6L,HELLS,KIF11,KIF18B,LBH,MAD2L1,NCAPG,NCAPG2,NCAPH,NDC80,NUF2,NUSAP1,OIP5,OSM,PRC1,RALB,SEPTIN4,SOX17,SPC24,SPC25,STMN1,TAL1,TOP2A,VEGFC,ZWINT"
"233"	"GO:0042108"	"positive regulation of cytokine biosynthetic process"	58	8	3.22	765	0.0138	0.01423	"CD28,CD74,CD80,IL27,IRF1,JAK2,TLR7,TLR8"
"234"	"GO:0022600"	"digestive system process"	58	8	3.22	766	0.0138	0.01423	"GCNT3,GHRL,HRH2,NOD2,SLC2A5,SNX10,TIFAB,TYMP"
"235"	"GO:0032663"	"regulation of interleukin-2 production"	47	7	2.61	767	0.01389	0.01429	"CD28,CD80,GBP1,LAG3,PDE4B,RIPK2,TBX21"
"236"	"GO:0045621"	"positive regulation of lymphocyte differentiation"	81	13	4.5	393	0.01402	0.00048	"ADAM8,BCL6,BTN2A2,CD74,CD80,CYLD,FLT3LG,HLA-G,IL12A,IL12RB1,IL15,RIPK2,SOCS1"
"237"	"GO:0051983"	"regulation of chromosome segregation"	94	11	5.22	773	0.01429	0.01484	"AURKB,BUB1B,CDC6,CDCA5,CDT1,FEN1,HORMAD1,MAD2L1,MKI67,NDC80,RMI2"
"238"	"GO:1990266"	"neutrophil migration"	92	20	5.11	139	0.01432	1.1e-07	"ADAM8,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD300H,CD74,CXADR,CXCL10,CXCL11,CXCL5,CXCL9,DYSF,EDN1,IL1RN,MCOLN2,PDE4B,SLAMF8"
"239"	"GO:0009615"	"response to virus"	279	50	15.49	39	0.01445	1.1e-13	"AIM2,APOBEC3A,APOBEC3D,APOBEC3G,BATF3,BCL2L11,CCL5,CCL8,CD40,CXCL10,CXCL9,CYP1A1,DDX60,DTX3L,FGL2,GBP1,GBP3,IFI27,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IL12A,IL12RB1,IL15,IL27,IRF1,IRF7,ISG20,NLRC5,OAS2,PMAIP1,PML,RSAD2,RTP4,SERINC5,STAT1,STAT2,STMN1,TBX21,TLR7,TLR8,TRIM22,TSPAN32,VWCE,ZC3H12A"
"240"	"GO:0034121"	"regulation of toll-like receptor signaling pathway"	59	11	3.28	380	0.01482	0.00035	"ACOD1,APPL2,CD300LF,GRAMD4,IRF1,IRF7,LILRA2,LYN,RSAD2,TICAM2,TLR5"
"241"	"GO:1990573"	"potassium ion import across plasma membrane"	27	5	1.5	775	0.01483	0.01516	"ATP1B2,KCNJ10,KCNJ15,KCNJ2,SLC12A3"
"242"	"GO:0032715"	"negative regulation of interleukin-6 production"	37	6	2.05	786	0.01489	0.01527	"BANK1,GHRL,HGF,NLRP12,SLAMF1,ZC3H12A"
"243"	"GO:0010649"	"regulation of cell communication by electrical coupling"	10	3	0.56	777	0.01502	0.01524	"CAMK2D,SRI,TRDN"
"244"	"GO:0002291"	"T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell"	10	3	0.56	778	0.01502	0.01524	"FGL2,HLA-DMB,ICAM1"
"245"	"GO:0048291"	"isotype switching to IgG isotypes"	10	3	0.56	779	0.01502	0.01524	"CD28,CD40,TBX21"
"246"	"GO:0070099"	"regulation of chemokine-mediated signaling pathway"	10	3	0.56	780	0.01502	0.01524	"CCL5,EDN1,PADI2"
"247"	"GO:0035457"	"cellular response to interferon-alpha"	10	3	0.56	781	0.01502	0.01524	"IFIT2,IFIT3,PYHIN1"
"248"	"GO:0046133"	"pyrimidine ribonucleoside catabolic process"	10	3	0.56	782	0.01502	0.01524	"APOBEC3A,APOBEC3D,APOBEC3G"
"249"	"GO:0031665"	"negative regulation of lipopolysaccharide-mediated signaling pathway"	10	3	0.56	783	0.01502	0.01524	"ACOD1,CARD16,LILRA2"
"250"	"GO:0060397"	"JAK-STAT cascade involved in growth hormone signaling pathway"	10	3	0.56	784	0.01502	0.01524	"JAK2,JAK3,LYN"
"251"	"GO:0070106"	"interleukin-27-mediated signaling pathway"	10	3	0.56	785	0.01502	0.01524	"IL27,JAK2,STAT1"
"252"	"GO:0071378"	"cellular response to growth hormone stimulus"	18	4	1	787	0.01516	0.01545	"GHRL,JAK2,JAK3,LYN"
"253"	"GO:0060396"	"growth hormone receptor signaling pathway"	18	4	1	788	0.01516	0.01545	"GHRL,JAK2,JAK3,LYN"
"254"	"GO:0045822"	"negative regulation of heart contraction"	18	4	1	789	0.01516	0.01545	"JAK2,SPTBN4,SRI,ZC3H12A"
"255"	"GO:0098771"	"inorganic ion homeostasis"	542	55	30.09	246	0.01527	9.8e-06	"ABCG2,AGT,ANK2,ATP13A2,ATP1B2,ATP6V0D2,B2M,CAMK2D,CCL13,CCL15,CCL5,CCL7,CCL8,CCRL2,CD38,CD40,CDH5,CX3CR1,CXCL10,CXCL11,CXCL9,CXCR3,CYSLTR1,EDN1,EPAS1,F2RL3,FAM20A,GHRL,JAK2,KCNJ10,KCNJ2,LRRK2,LYN,MCOLN2,MT2A,NPR1,P2RX4,P2RX7,PDK4,PML,PTGER4,RAB20,S1PR1,SCO2,SLAMF8,SLC11A1,SLC12A3,SLC25A28,SLC31A2,SNX10,SRI,STEAP4,TGM2,TPCN1,TRDN"
"256"	"GO:0008015"	"blood circulation"	382	39	21.21	343	0.01547	0.00017	"ADORA3,AGT,ANK2,ATP1B2,CACNA2D3,CAMK2D,CD38,CDH5,CEACAM1,COMP,CXADR,CXCL10,DLL1,EDN1,EPAS1,ERAP2,GCH1,GHRL,GJD3,HBEGF,HRH2,ICAM1,JAK2,KCNJ2,LRP5,MYOF,NPR1,P2RX4,PDE4B,SCN4B,SERPING1,SLC2A5,SPTBN4,SRI,STAT1,SUCNR1,TRDN,VEGFC,ZC3H12A"
"257"	"GO:0098586"	"cellular response to virus"	48	7	2.66	793	0.01551	0.01595	"BCL2L11,DDX60,IFIH1,IL12A,IRF7,VWCE,ZC3H12A"
"258"	"GO:0032088"	"negative regulation of NF-kappaB transcription factor activity"	71	9	3.94	796	0.01574	0.01627	"ACOD1,ADORA3,AIM2,CYLD,KLF4,NLRC5,NLRP12,PARP10,ZC3H12A"
"259"	"GO:1903046"	"meiotic cell cycle process"	134	14	7.44	799	0.016	0.01672	"BUB1B,CCNE2,CDC25A,DAZL,DMC1,HORMAD1,MEIKIN,NCAPH,NUF2,OVOL1,RAD54B,RAD54L,TDRD9,TOP2A"
"260"	"GO:2000116"	"regulation of cysteine-type endopeptidase activity"	202	19	11.21	800	0.01627	0.01715	"AIM2,BCL2L11,BIRC5,CARD16,CASP4,FAS,GRAMD4,HGF,JAK2,KLF4,LAMP3,MEFV,MMP9,NLRP12,PMAIP1,PML,PSMB9,RIPK2,TNFSF10"
"261"	"GO:0045132"	"meiotic chromosome segregation"	60	8	3.33	801	0.01673	0.01725	"BUB1B,CCNE2,DMC1,HORMAD1,MEIKIN,NCAPH,NUF2,TOP2A"
"262"	"GO:1903708"	"positive regulation of hemopoiesis"	160	19	8.88	476	0.01701	0.0014	"ADAM8,BCL6,BTN2A2,CD101,CD74,CD80,CYLD,FLT3LG,HLA-G,IL12A,IL12RB1,IL15,KITLG,RIPK2,SCIN,SOCS1,STAT1,TAL1,TESC"
"263"	"GO:0048514"	"blood vessel morphogenesis"	498	47	27.65	361	0.0171	0.00025	"ADAM8,AGT,AMOT,BRCA1,C3,CD40,CDH5,CEACAM1,COL23A1,COMP,CX3CR1,CXCL10,CXCR3,DLL1,DYSF,E2F2,E2F8,EDN1,ENPP2,EPAS1,EPHB3,GHRL,GLUL,HGF,HLA-G,KLF4,LRP5,MIR503,NPR1,NRP1,PDE3B,PLCD3,PML,RAPGEF2,RNF213,S1PR1,SAT1,SGPL1,SOX17,STAT1,TAL1,THBS2,TNFAIP2,TYMP,VEGFC,WARS1,ZC3H12A"
"264"	"GO:0002690"	"positive regulation of leukocyte chemotaxis"	72	9	4	805	0.01714	0.01771	"CCL5,CCL7,CD74,CXCL10,DYSF,EDN1,IL12A,KARS1,VEGFC"
"265"	"GO:0035587"	"purinergic receptor signaling pathway"	28	5	1.55	804	0.01725	0.01764	"ADORA3,NECAB2,P2RX4,P2RX7,P2RY14"
"266"	"GO:0061098"	"positive regulation of protein tyrosine kinase activity"	49	7	2.72	808	0.01726	0.01775	"AGT,CCL5,GHRL,NCAPG2,NCF1,STAP1,TAL1"
"267"	"GO:1902041"	"regulation of extrinsic apoptotic signaling pathway via death domain receptors"	49	7	2.72	809	0.01726	0.01775	"ATF3,BRCA1,FAS,HGF,ICAM1,PMAIP1,TNFSF10"
"268"	"GO:0031102"	"neuron projection regeneration"	49	7	2.72	810	0.01726	0.01775	"DHFR,HGF,JAK2,KLF4,KREMEN1,RTN4RL1,SCARF1"
"269"	"GO:0072091"	"regulation of stem cell proliferation"	49	7	2.72	811	0.01726	0.01775	"CX3CR1,KITLG,LRRK2,OVOL1,PIM1,SOX17,VEGFC"
"270"	"GO:0016064"	"immunoglobulin mediated immune response"	88	21	4.89	109	0.01727	9.4e-09	"BCL6,C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,CD28,CD40,CD74,EXO1,FGL2,GCNT3,HLA-DQB1,HLA-E,IRF7,SERPING1,TBX21,TLR8"
"271"	"GO:0055065"	"metal ion homeostasis"	472	50	26.2	242	0.0175	7.8e-06	"ABCG2,AGT,ANK2,ATP13A2,ATP1B2,B2M,CAMK2D,CCL13,CCL15,CCL5,CCL7,CCL8,CCRL2,CD38,CD40,CDH5,CX3CR1,CXCL10,CXCL11,CXCL9,CXCR3,CYSLTR1,EDN1,EPAS1,F2RL3,FAM20A,GHRL,JAK2,KCNJ10,KCNJ2,LYN,MCOLN2,MT2A,NPR1,P2RX4,P2RX7,PML,PTGER4,S1PR1,SCO2,SLC11A1,SLC12A3,SLC25A28,SLC31A2,SNX10,SRI,STEAP4,TGM2,TPCN1,TRDN"
"272"	"GO:0010950"	"positive regulation of endopeptidase activity"	149	15	8.27	814	0.01768	0.0185	"AIM2,BCL2L11,CASP4,FAS,GRAMD4,JAK2,LYN,MEFV,NLRP12,PMAIP1,PML,PSME1,PSME2,RIPK2,TNFSF10"
"273"	"GO:0042454"	"ribonucleoside catabolic process"	19	4	1.05	816	0.01838	0.01872	"APOBEC3A,APOBEC3D,APOBEC3G,ENPP4"
"274"	"GO:0002719"	"negative regulation of cytokine production involved in immune response"	19	4	1.05	817	0.01838	0.01872	"BCL6,HLA-F,JAK3,TBX21"
"275"	"GO:0071260"	"cellular response to mechanical stimulus"	73	9	4.05	819	0.01863	0.01924	"AGT,CD40,FAS,IRF1,KCNJ2,PTGER4,TLR5,TLR7,TLR8"
"276"	"GO:0043331"	"response to dsRNA"	39	6	2.17	821	0.01905	0.01953	"COLEC12,IFIH1,P2RX7,PMAIP1,RALB,RIPK2"
"277"	"GO:0030155"	"regulation of cell adhesion"	580	64	32.2	133	0.01912	9.1e-08	"ADAM8,AGR2,BCL6,BTN2A2,CCL5,CD274,CD28,CD74,CD80,CEACAM1,CHRD,CTLA4,CXCR3,CYLD,DAB1,DLL1,DYSF,EPHB3,FAM107A,FGL1,FGL2,GBP1,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,HLA-G,ICAM1,IDO1,IL12A,IL12RB1,IL15,IL1RN,IRF1,JAK2,JAK3,KLF4,KLRK1,LAG3,LYN,MDGA1,MIR503,MUC1,NOD2,NRP1,ONECUT2,PDCD1,PDCD1LG2,PDE3B,PLXNA2,PML,RIPK2,RSU1,S100A10,S1PR1,SOCS1,TBX21,TESC,TGM2,TNFRSF21,TNFSF13B,TNFSF18,VCAM1,ZC3H12A"
