Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
neuron projection extension involved in neuron projection guidance (GO:1902284)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	NRP1
positive regulation of tissue remodeling (GO:0034105)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	IL15
regulation of fibroblast apoptotic process (GO:2000269)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	BCL2L11
positive regulation of mitochondrial calcium ion concentration (GO:0051561)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	TGM2
regulation of calcium ion transmembrane transport via high voltage-gated calcium channel (GO:1902514)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	CAMK2D
mast cell activation involved in immune response (GO:0002279)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	S100A13
cellular response to prostaglandin E stimulus (GO:0071380)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	GNG2
regulation of chaperone-mediated autophagy (GO:1904714)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	ATP13A2
nucleoside diphosphate phosphorylation (GO:0006165)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	AK1
response to epinephrine (GO:0071871)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	PDE4B
negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	CEACAM1
T-helper 17 cell differentiation (GO:0072539)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	SLAMF6
negative regulation of platelet aggregation (GO:0090331)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	CEACAM1
positive regulation of interleukin-8 biosynthetic process (GO:0045416)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	TLR8
microvillus organization (GO:0032528)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	RAPGEF2
regulation of histone H4 acetylation (GO:0090239)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	MUC1
organophosphate catabolic process (GO:0046434)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	ENPP2
positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	CDT1
coronary vasculature morphogenesis (GO:0060977)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	NRP1
cellular cation homeostasis (GO:0030003)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	ATP13A2
regulation of PERK-mediated unfolded protein response (GO:1903897)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	AGR2
regulation of microvillus organization (GO:0032530)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	ATP8B1
negative regulation of glucose import (GO:0046325)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	PID1
protein K6-linked ubiquitination (GO:0085020)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	BRCA1
microvillus assembly (GO:0030033)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	RAPGEF2
regulation of ATP biosynthetic process (GO:2001169)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	PID1
phagolysosome assembly (GO:0001845)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	RAB20
positive regulation of early endosome to late endosome transport (GO:2000643)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	DAB2
regulation of MyD88-independent toll-like receptor signaling pathway (GO:0034127)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	IRF7
axon extension involved in axon guidance (GO:0048846)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	NRP1
regulation of cytoplasmic transport (GO:1903649)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	LRRK2
plasma membrane to endosome transport (GO:0048227)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	USP6NL
positive regulation of ryanodine-sensitive calcium-release channel activity (GO:0060316)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	TRDN
T-helper cell lineage commitment (GO:0002295)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	SLAMF6
atrial cardiac muscle cell to AV node cell signaling (GO:0086026)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	ANK2
insulin metabolic process (GO:1901142)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	CEACAM1
regulation of toll-like receptor 2 signaling pathway (GO:0034135)	1/8	0.23674000236708564	1.0	0	0	3.765060240963855	5.424671598108875	ACOD1
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	1/8	0.23674000236708564	0.9992425410084682	0	0	3.765060240963855	5.424671598108875	CDC6
kynurenine metabolic process (GO:0070189)	1/8	0.23674000236708564	0.998416720726643	0	0	3.765060240963855	5.424671598108875	IDO2
cellular response to epinephrine stimulus (GO:0071872)	1/8	0.23674000236708564	0.997592264309858	0	0	3.765060240963855	5.424671598108875	PDE4B
negative regulation of centriole replication (GO:0046600)	1/8	0.23674000236708564	0.9967691683822096	0	0	3.765060240963855	5.424671598108875	BRCA1
negative regulation of biosynthetic process (GO:0009890)	1/8	0.23674000236708564	0.9959474295789267	0	0	3.765060240963855	5.424671598108875	CEACAM1
protein localization to endosome (GO:0036010)	1/8	0.23674000236708564	0.9951270445463246	0	0	3.765060240963855	5.424671598108875	NRP1
positive regulation of regulatory T cell differentiation (GO:0045591)	1/8	0.23674000236708564	0.9943080099417597	0	0	3.765060240963855	5.424671598108875	SOCS1
heterochromatin assembly (GO:0031507)	1/8	0.23674000236708564	0.9934903224335839	0	0	3.765060240963855	5.424671598108875	HELLS
positive regulation of monocyte differentiation (GO:0045657)	1/8	0.23674000236708564	0.9926739787010995	0	0	3.765060240963855	5.424671598108875	CD74
phospholipid scrambling (GO:0017121)	1/8	0.23674000236708564	0.991858975434514	0	0	3.765060240963855	5.424671598108875	P2RX7
basement membrane organization (GO:0071711)	1/8	0.23674000236708564	0.9910453093348959	0	0	3.765060240963855	5.424671598108875	CTSS
membrane lipid catabolic process (GO:0046466)	1/8	0.23674000236708564	0.9902329771141296	0	0	3.765060240963855	5.424671598108875	SGPL1
pyrimidine nucleobase metabolic process (GO:0006206)	1/8	0.23674000236708564	0.9894219754948714	0	0	3.765060240963855	5.424671598108875	DPYS
regulation of MHC class II biosynthetic process (GO:0045346)	1/8	0.23674000236708564	0.9886123012105058	0	0	3.765060240963855	5.424671598108875	CIITA
negative regulation of neuron projection regeneration (GO:0070571)	1/8	0.23674000236708564	0.9878039510051007	0	0	3.765060240963855	5.424671598108875	RTN4RL1
granulocyte differentiation (GO:0030851)	1/8	0.23674000236708564	0.9869969216333644	0	0	3.765060240963855	5.424671598108875	TAL1
negative regulation of cAMP-dependent protein kinase activity (GO:2000480)	1/8	0.23674000236708564	0.9861912098606025	0	0	3.765060240963855	5.424671598108875	PKIB
mast cell degranulation (GO:0043303)	1/8	0.23674000236708564	0.9853868124626738	0	0	3.765060240963855	5.424671598108875	S100A13
negative regulation of bone remodeling (GO:0046851)	1/8	0.23674000236708564	0.9845837262259479	0	0	3.765060240963855	5.424671598108875	P2RX7
negative regulation of vascular permeability (GO:0043116)	1/8	0.23674000236708564	0.9837819479472623	0	0	3.765060240963855	5.424671598108875	CEACAM1
nucleotide phosphorylation (GO:0046939)	1/8	0.23674000236708564	0.9829814744338796	0	0	3.765060240963855	5.424671598108875	AK1
acid secretion (GO:0046717)	1/8	0.23674000236708564	0.9821823025034456	0	0	3.765060240963855	5.424671598108875	GHRL
regulation of cilium movement (GO:0003352)	1/8	0.23674000236708564	0.9813844289839464	0	0	3.765060240963855	5.424671598108875	DNAAF1
acylglycerol acyl-chain remodeling (GO:0036155)	1/8	0.23674000236708564	0.9805878507136673	0	0	3.765060240963855	5.424671598108875	DGAT2
osteoblast development (GO:0002076)	1/8	0.23674000236708564	0.97979256454115	0	0	3.765060240963855	5.424671598108875	LRP5
positive regulation of viral entry into host cell (GO:0046598)	1/8	0.23674000236708564	0.9789985673251524	0	0	3.765060240963855	5.424671598108875	CD74
regulation of dopamine receptor signaling pathway (GO:0060159)	1/8	0.23674000236708564	0.9782058559346057	0	0	3.765060240963855	5.424671598108875	LRRK2
glycerol-3-phosphate metabolic process (GO:0006072)	1/8	0.23674000236708564	0.9774144272485745	0	0	3.765060240963855	5.424671598108875	GK
telomeric D-loop disassembly (GO:0061820)	1/8	0.23674000236708564	0.9766242781562151	0	0	3.765060240963855	5.424671598108875	RECQL4
regulation of keratinocyte migration (GO:0051547)	1/8	0.23674000236708564	0.9758354055567351	0	0	3.765060240963855	5.424671598108875	MMP9
positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	1/8	0.23674000236708564	0.9750478063593527	0	0	3.765060240963855	5.424671598108875	DAB2
regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909)	1/8	0.23674000236708564	0.9742614774832565	0	0	3.765060240963855	5.424671598108875	CAMK2D
regulation of TORC1 signaling (GO:1903432)	2/28	0.2378594375699936	0.9780795406282654	0	0	2.1514629948364887	3.0896630340534164	SESN3;CASTOR1
negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	2/28	0.2378594375699936	0.977292036972365	0	0	2.1514629948364887	3.0896630340534164	DAB2;BRCA1
cellular response to ketone (GO:1901655)	2/28	0.2378594375699936	0.9765058004180832	0	0	2.1514629948364887	3.0896630340534164	GNG2;ACOD1
cellular response to alcohol (GO:0097306)	2/28	0.2378594375699936	0.9757208279097085	0	0	2.1514629948364887	3.0896630340534164	GNG2;BRCA1
carboxylic acid catabolic process (GO:0046395)	2/28	0.2378594375699936	0.9749371164013473	0	0	2.1514629948364887	3.0896630340534164	LYVE1;ACOT4
RNA phosphodiester bond hydrolysis (GO:0090501)	2/28	0.2378594375699936	0.9741546628568839	0	0	2.1514629948364887	3.0896630340534164	XRN1;ZC3H12A
positive regulation of phospholipid metabolic process (GO:1903727)	2/28	0.2378594375699936	0.9733734642499418	0	0	2.1514629948364887	3.0896630340534164	TNFAIP8L3;NOD2
positive regulation of calcium-mediated signaling (GO:0050850)	2/28	0.2378594375699936	0.972593517563844	0	0	2.1514629948364887	3.0896630340534164	P2RX4;TRDN
regulation of defense response to virus by virus (GO:0050690)	2/28	0.2378594375699936	0.9718148197915751	0	0	2.1514629948364887	3.0896630340534164	CD28;B2M
protein K63-linked deubiquitination (GO:0070536)	2/28	0.2378594375699936	0.9710373679357419	0	0	2.1514629948364887	3.0896630340534164	CYLD;STAMBPL1
positive regulation of developmental growth (GO:0048639)	3/51	0.23945908068963084	0.9767863219497892	0	0	1.771793054571226	2.5325526750507623	SYT1;AGR2;GHRL
G2/M transition of mitotic cell cycle (GO:0000086)	6/126	0.24139326655094312	0.9838896479308809	0	0	1.4343086632243258	2.038622868666662	CCNA2;ABCB1;CDK1;PKMYT1;CDC25A;OPTN
cytoskeleton organization (GO:0007010)	6/126	0.24139326655094312	0.9831044207577516	0	0	1.4343086632243258	2.038622868666662	SPTBN4;ANLN;CCL13;CCL7;RHOBTB3;MICAL2
ubiquitin-dependent protein catabolic process (GO:0006511)	14/341	0.24502257534798075	0.9970894752797016	0	0	1.2366180263576299	1.7391856868237865	DTX3L;RNF19B;PSMB8;PSMB10;PML;PSMB9;NUB1;RNF213;UBD;TBX21;PSME1;CDK1;PSME2;DTL
hemopoiesis (GO:0030097)	4/76	0.2454151904518626	0.997891407869207	0	0	1.5852885225110969	2.2270194163590107	KITLG;TAL1;PLEK;FLT3LG
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	4/76	0.2454151904518626	0.9970969083406488	0	0	1.5852885225110969	2.2270194163590107	TNFSF10;FAS;BRCA1;ICAM1
vesicle organization (GO:0016050)	6/127	0.24690405420791844	1.0	0	0	1.4230148942225596	1.990449856257409	SYT1;SNX10;VAMP5;STX11;S100A10;SYT6
non-canonical Wnt signaling pathway (GO:0035567)	6/127	0.24690405420791844	1.0	0	0	1.4230148942225596	1.990449856257409	GNG2;PSME1;PSME2;PSMB10;PSMB8;PSMB9
cell cycle G2/M phase transition (GO:0044839)	6/127	0.24690405420791844	1.0	0	0	1.4230148942225596	1.990449856257409	CCNA2;ABCB1;CDK1;PKMYT1;CDC25A;OPTN
activation of protein kinase activity (GO:0032147)	10/233	0.24765569327225914	1.0	0	0	1.2927245462536843	1.8042761143605401	GADD45B;RIPK2;SLC11A1;NRK;LRRK2;CDK1;GHRL;CLSPN;NOD2;JAK2
positive regulation of secretion by cell (GO:1903532)	3/52	0.24838879284947507	1.0	0	0	1.7377201112140872	2.4202271442779053	EDN1;ADAM8;ATP13A2
cellular response to cadmium ion (GO:0071276)	2/29	0.25027028876578966	1.0	0	0	2.077274615704196	2.8774694434648023	NCF1;MMP9
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	2/29	0.25027028876578966	1.0	0	0	2.077274615704196	2.8774694434648023	IRF7;CD300LF
superoxide metabolic process (GO:0006801)	2/29	0.25027028876578966	1.0	0	0	2.077274615704196	2.8774694434648023	NCF1;SH3PXD2A
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	2/29	0.25027028876578966	1.0	0	0	2.077274615704196	2.8774694434648023	MUC1;ATF3
coenzyme biosynthetic process (GO:0009108)	2/29	0.25027028876578966	1.0	0	0	2.077274615704196	2.8774694434648023	DHFR;GCH1
semaphorin-plexin signaling pathway (GO:0071526)	2/29	0.25027028876578966	1.0	0	0	2.077274615704196	2.8774694434648023	NRP1;PLXNA2
regulation of cellular biosynthetic process (GO:0031326)	2/29	0.25027028876578966	1.0	0	0	2.077274615704196	2.8774694434648023	C3;PDK4
carbohydrate derivative biosynthetic process (GO:1901137)	2/29	0.25027028876578966	1.0	0	0	2.077274615704196	2.8774694434648023	RRM2;GK
response to ionizing radiation (GO:0010212)	4/77	0.2526874443641846	1.0	0	0	1.564700359881083	2.1524048689681385	XRCC2;DMC1;BRCA1;TICRR
regulation of cell migration (GO:0030334)	13/316	0.25318480350548866	1.0	0	0	1.2391337501906359	1.7021182426636745	IFITM1;EDN1;HGF;CHRD;MMP9;AMOT;CEACAM1;DAB2;CCL7;ADORA3;ENPP2;PLXNA2;HBEGF
regulation of calcium ion-dependent exocytosis (GO:0017158)	3/53	0.2573679614779316	1.0	0	0	1.7049329393043873	2.31401760857551	SYT1;LRRK2;SYT6
sensory perception of mechanical stimulus (GO:0050954)	4/78	0.26000384090842504	1.0	0	0	1.5446400988569662	2.080721154388343	CLIC5;SPTBN4;MARVELD2;BIRC5
extracellular matrix disassembly (GO:0022617)	4/78	0.26000384090842504	1.0	0	0	1.5446400988569662	2.080721154388343	LAMB3;ADAM8;MMP9;CTSS
regulation of immunoglobulin secretion (GO:0051023)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	HLA-E
negative regulation of phagocytosis (GO:0050765)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	CD300LF
manganese ion transport (GO:0006828)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SLC11A1
megakaryocyte differentiation (GO:0030219)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	TAL1
response to UV-C (GO:0010225)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	CARD16
regulation of macrophage cytokine production (GO:0010935)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	CD74
positive regulation of protein maturation (GO:1903319)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	ADAM8
negative regulation of response to reactive oxygen species (GO:1901032)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	LRRK2
regulation of interleukin-6 biosynthetic process (GO:0045408)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	GHRL
neuronal ion channel clustering (GO:0045161)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SPTBN4
neuron maturation (GO:0042551)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SCARF1
cellular response to interleukin-4 (GO:0071353)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	JAK3
negative regulation of T cell apoptotic process (GO:0070233)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	JAK3
short-chain fatty acid metabolic process (GO:0046459)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	ACOT4
positive regulation of coagulation (GO:0050820)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	ENPP4
regulation of SNARE complex assembly (GO:0035542)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	PRRT2
sterol catabolic process (GO:0016127)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SCARF1
regulation of muscle system process (GO:0090257)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SRI
regulation of interferon-gamma secretion (GO:1902713)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	ZC3H12A
regulation of mast cell activation (GO:0033003)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	CD300LF
regulation of endothelial cell differentiation (GO:0045601)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	CEACAM1
mature B cell differentiation involved in immune response (GO:0002313)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	GPR183
cellular response to dopamine (GO:1903351)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	LRRK2
regulation of morphogenesis of an epithelium (GO:1905330)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	CXCL10
regulation of leukocyte mediated cytotoxicity (GO:0001910)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	ICAM1
positive regulation of cholesterol esterification (GO:0010873)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	AGT
Cdc42 protein signal transduction (GO:0032488)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	RHOBTB3
negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SOCS1
mitochondrion morphogenesis (GO:0070584)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	PID1
positive regulation of immunoglobulin secretion (GO:0051024)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	HLA-E
positive regulation of ion transmembrane transport (GO:0034767)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	P2RX7
regulation of integrin activation (GO:0033623)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	PLEK
central nervous system neuron development (GO:0021954)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	RAPGEF2
response to dopamine (GO:1903350)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	LRRK2
semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	PLXNA2
establishment of viral latency (GO:0019043)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	IRF7
epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	DNAAF1
response to leucine (GO:0043201)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SESN3
virion attachment to host cell (GO:0019062)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	ICAM1
nucleoside phosphate biosynthetic process (GO:1901293)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	AK1
negative regulation of fibrinolysis (GO:0051918)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	THBD
sympathetic ganglion development (GO:0061549)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	NRP1
positive regulation of autophagosome assembly (GO:2000786)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	RALB
negative regulation of histone methylation (GO:0031061)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	BRCA1
receptor recycling (GO:0001881)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	LMTK2
nucleoside triphosphate biosynthetic process (GO:0009142)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	AK1
regulation of Rac protein signal transduction (GO:0035020)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	RASGRF1
oogenesis (GO:0048477)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	HORMAD1
membrane disruption in other organism (GO:0051673)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	GSDMD
negative regulation of alcohol biosynthetic process (GO:1902931)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	PLEK
omega-hydroxylase P450 pathway (GO:0097267)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	CYP1A1
positive regulation of cell activation (GO:0050867)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	PLEK
positive regulation of hemostasis (GO:1900048)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	ENPP4
endothelial cell chemotaxis (GO:0035767)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	NRP1
toll-like receptor 3 signaling pathway (GO:0034138)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	COLEC12
regulation of leukocyte activation (GO:0002694)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	CD74
response to interleukin-4 (GO:0070670)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	JAK3
glucose import (GO:0046323)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SLC2A6
protein modification by small protein conjugation or removal (GO:0070647)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	UBD
cholesterol catabolic process (GO:0006707)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SCARF1
hexose catabolic process (GO:0019320)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	LRP5
cellular response to leucine (GO:0071233)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	SESN3
mast cell mediated immunity (GO:0002448)	1/9	0.262090338346554	1.0	0	0	3.3467202141900936	4.481479356768538	S100A13
positive regulation of protein homooligomerization (GO:0032464)	1/9	0.262090338346554	0.9995866940078214	0	0	3.3467202141900936	4.481479356768538	BCL2L11
cellular response to acidic pH (GO:0071468)	1/9	0.262090338346554	0.9988401766859336	0	0	3.3467202141900936	4.481479356768538	PKD1L3
nuclear RNA surveillance (GO:0071027)	1/9	0.262090338346554	0.9980947735690038	0	0	3.3467202141900936	4.481479356768538	XRN1
fatty acid homeostasis (GO:0055089)	1/9	0.262090338346554	0.9973504821644035	0	0	3.3467202141900936	4.481479356768538	DGAT2
cytoskeletal anchoring at plasma membrane (GO:0007016)	1/9	0.262090338346554	0.9966072999869338	0	0	3.3467202141900936	4.481479356768538	SPTBN4
histone phosphorylation (GO:0016572)	1/9	0.262090338346554	0.9958652245587976	0	0	3.3467202141900936	4.481479356768538	CCNA2
DNA topological change (GO:0006265)	1/9	0.262090338346554	0.9951242534095722	0	0	3.3467202141900936	4.481479356768538	TOP2A
Golgi inheritance (GO:0048313)	1/9	0.262090338346554	0.9943843840761822	0	0	3.3467202141900936	4.481479356768538	CDK1
negative regulation of peptidyl-lysine acetylation (GO:2000757)	1/9	0.262090338346554	0.9936456141028716	0	0	3.3467202141900936	4.481479356768538	BRCA1
regulation of glycoprotein biosynthetic process (GO:0010559)	1/9	0.262090338346554	0.9929079410411767	0	0	3.3467202141900936	4.481479356768538	NECAB2
regulation of actin cytoskeleton reorganization (GO:2000249)	2/30	0.26269829651020327	0.994472853925495	0	0	2.0080321285140563	2.6842350740080367	NRP1;STAP1
negative regulation of endothelial cell proliferation (GO:0001937)	2/30	0.26269829651020327	0.993735661298419	0	0	2.0080321285140563	2.6842350740080367	STAT1;GHRL
connective tissue development (GO:0061448)	2/30	0.26269829651020327	0.9929995608085683	0	0	2.0080321285140563	2.6842350740080367	LRP5;GHRL
bile acid and bile salt transport (GO:0015721)	2/30	0.26269829651020327	0.9922645500307677	0	0	2.0080321285140563	2.6842350740080367	CEACAM1;ATP8B1
cellular response to drug (GO:0035690)	2/30	0.26269829651020327	0.9915306265470172	0	0	2.0080321285140563	2.6842350740080367	AIM2;PDE4B
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	2/30	0.26269829651020327	0.990797787946465	0	0	2.0080321285140563	2.6842350740080367	IRF7;CD300LF
aminoglycan metabolic process (GO:0006022)	2/30	0.26269829651020327	0.990066031825382	0	0	2.0080321285140563	2.6842350740080367	SDC2;XYLT1
bile acid metabolic process (GO:0008206)	2/30	0.26269829651020327	0.9893353557871345	0	0	2.0080321285140563	2.6842350740080367	HSD3B7;OSBPL6
regulation of sodium ion transmembrane transport (GO:1902305)	2/30	0.26269829651020327	0.9886057574421587	0	0	2.0080321285140563	2.6842350740080367	CAMK2D;SCN4B
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	2/30	0.26269829651020327	0.9878772344079346	0	0	2.0080321285140563	2.6842350740080367	RAPGEF2;GBP1
protein localization to plasma membrane (GO:0072659)	6/130	0.263645626306638	0.9907095957605108	0	0	1.3901760889712698	1.8533124219044184	SPTBN4;TESC;RAPGEF2;ANK2;OPTN;S100A10
cell morphogenesis involved in differentiation (GO:0000904)	3/54	0.2663900359095415	1.0	0	0	1.6733601070950468	2.2135102807184808	NRP1;ANTXR1;EPHB3
cellular response to nutrient levels (GO:0031669)	3/54	0.2663900359095415	0.9995502597399929	0	0	1.6733601070950468	2.2135102807184808	RALB;LRRK2;PDK4
peptidyl-tyrosine phosphorylation (GO:0018108)	4/79	0.2673608115997986	1.0	0	0	1.5250876925423211	2.011828852421829	ITK;IL15;JAK2;JAK3
steroid biosynthetic process (GO:0006694)	4/79	0.2673608115997986	1.0	0	0	1.5250876925423211	2.011828852421829	HSD11B1;HSD3B7;OSBPL6;FAXDC2
regulation of endothelial cell proliferation (GO:0001936)	4/79	0.2673608115997986	1.0	0	0	1.5250876925423211	2.011828852421829	NRP1;STAT1;VEGFC;GHRL
spindle assembly (GO:0051225)	4/80	0.27475482493551306	1.0	0	0	1.5060240963855422	1.9455965732949416	BIRC5;MYBL2;KIF11;GOLGA2P5
negative regulation of cell-cell adhesion (GO:0022408)	2/31	0.27512866506804035	1.0	0	0	1.9432568985619898	2.5078049315182778	IL1RN;KLF4
regulation of protein tyrosine kinase activity (GO:0061097)	2/31	0.27512866506804035	1.0	0	0	1.9432568985619898	2.5078049315182778	MVP;AGT
secondary alcohol metabolic process (GO:1902652)	2/31	0.27512866506804035	1.0	0	0	1.9432568985619898	2.5078049315182778	SOAT1;APOL2
positive regulation of viral genome replication (GO:0045070)	2/31	0.27512866506804035	1.0	0	0	1.9432568985619898	2.5078049315182778	TOP2A;CD28
